Expt,ClogP,Polarizability,Name,SLN
-4.35,4.22,133.981,1-bromonapthtalene,BrC[2]C[3]=C(CH=CHCH=@2)CH=CHCH=CH@3
-3.33,2.95,130.274,bromoxynil,BrC[2]=C(C(=CHC(=CH@2)C#N)Br)OH
-6.98,5,154.335,"1,2,4,5-tetrabromobenzene",BrC[2]=C(CH=C(C(=CH@2)Br)Br)Br
-6.09,5.07,193.29,bromophos,BrC[2]=C(CH=C(C(=CH@2)Cl)OP(=S)(OCH3)OCH3)Cl
-3.92,3.26,167.104,chlorbromuron,BrC[2]=C(CH=C(CH=CH@2)NHC(=O)N(OCH3)CH3)Cl
-4.5,4.38,133.603,"1,2,4-tribromobenzene",BrC[2]=C(CH=CHC(=CH@2)Br)Br
-5.04,4.22,133.603,"1,2,3-tribromobenzene",BrC[2]=C(CH=CHCH=C@2Br)Br
-3.5,3.63,112.871,"1,2-dibromobenzene",BrC[2]=C(CH=CHCH=CH@2)Br
-2.23,3.45,104.623,2-bromotoluene,BrC[2]=C(CH=CHCH=CH@2)CH3
-3.19,3.5,105.305,1-bromo-2-chlorobenzene,BrC[2]=C(CH=CHCH=CH@2)Cl
-2.7,2.95,92.581,o-fluorobromobenzene,BrC[2]=C(CH=CHCH=CH@2)F
-4.4,4.22,133.981,2-bromonaphthalene,BrC[2]=CHC[5]=C(CH=CH@2)CH=CHCH=CH@5
-5.6,4.39,133.603,"1,3,5-tribromobenzene",BrC[2]=CHC(=CHC(=CH@2)Br)Br
-3.54,3.72,112.871,"1,3-dibromobenzene",BrC[2]=CHC(=CHCH=CH@2)Br
-3.52,3.45,104.623,m-bromotoluene,BrC[2]=CHC(=CHCH=CH@2)CH3
-3.21,3.54,105.305,1-bromo-3-chlorobenzene,BrC[2]=CHC(=CHCH=CH@2)Cl
-2.67,3.03,92.581,m-fluorobromobenzene,BrC[2]=CHC(=CHCH=CH@2)F
-4.07,3.79,112.871,"1,4-dibromobenzene",BrC[2]=CHCH=C(CH=CH@2)Br
-4.45,7.48,371.576,bromadiolone,BrC[2]=CHCH=C(CH=CH@2)C[12]=CHCH=C(CH=CH@12)CH(OH)CH2CH(C[31]=C(C[33]=C(CH=CHCH=CH@33)OC@31=O)OH)C[48]=CHCH=CHCH=CH@48
-3.19,3.45,104.623,p-bromotoluene,BrC[2]=CHCH=C(CH=CH@2)CH3
-3.63,3.52,105.305,1-bromo-4-chlorobenzene,BrC[2]=CHCH=C(CH=CH@2)Cl
-4.93,5.43,250.647,bromopropylate,BrC[2]=CHCH=C(CH=CH@2)C(OH)(C[15]=CHCH=C(CH=CH@15)Br)C(=O)OCH(CH3)CH3
-3.08,2.29,127.421,4-bromoacetanilide,BrC[2]=CHCH=C(CH=CH@2)NHC(=O)CH3
-1.09,2.49,96.446,4-bromophenol,BrC[2]=CHCH=C(CH=CH@2)OH
-2.55,2.99,92.139,bromobenzene,BrC[2]=CHCH=CHCH=CH@2
-2.3,3.21,94.107,bromocyclohexane,BrC[2]HCH2CH2CH2CH2CH2@2
-3.12,0.9,160.684,brompyrazone,BrC[2]=C(CH=NN(C@2=O)C[10]=CHCH=CHCH=CH@10)NH2
-2.52,2.1,151.531,bromacil,BrC[2]=C(NHC(N(C@2=O)CH(CH2CH3)CH3)=O)CH3
-3.14,3.57,100.665,tetrabromomethane,BrC(Br)(Br)Br
-2.65,2.56,177.087,butallylonal,BrC(=CH2)CH2C[9](C(NHC(NHC@9=O)=O)=O)CH(CH2CH3)CH3
-2.68,1.6,134.001,carbromal,BrC(CH2CH3)(CH2CH3)C(=O)NHC(=O)NH2
-8.4,6.2,306.241,deltamethrin,BrC(=CHC[5]HC(CH@5C(=O)OCH(C[15]=CHC(=CHCH=CH@15)OC[26]=CHCH=CHCH=CH@26)C#N)(CH3)CH3)Br
-2.28,1.86,154.777,naled,BrC(Cl)(Cl)CH(Br)OP(=O)(OCH3)OCH3
-1.17,1.54,59.201,dibromomethane,BrCH2Br
-1.68,2.08,71.685,"1,2-dibromoethane",BrCH2CH2Br
-2.08,2.56,84.169,"1,3-dibromopropane",BrCH2CH2CH2Br
-5.06,4.87,125.857,1-bromooctane,BrCH2CH2CH2CH2CH2CH2CH2CH3
-4.43,4.34,113.373,1-bromoheptane,BrCH2CH2CH2CH2CH2CH2CH3
-3.81,3.8,100.889,1-bromohexane,BrCH2CH2CH2CH2CH2CH3
-3.07,3.27,88.405,1-bromopentane,BrCH2CH2CH2CH2CH3
-2.37,2.74,75.921,1-bromobutane,BrCH2CH2CH2CH3
-1.85,2.18,76.603,1-bromo-3-chloropropane,BrCH2CH2CH2Cl
-1.73,2.21,63.437,1-bromopropane,BrCH2CH2CH3
-2.89,3.09,88.405,1-bromo-3-methylbutane,BrCH2CH2CH(CH3)CH3
-1.32,1.61,64.119,1-chloro-2-bromoethane,BrCH2CH2Cl
-1.09,1.68,50.953,bromoethane,BrCH2CH3
-1.5,1.79,62.781,3-bromopropylene,BrCH2CH=CH2
-2.43,2.56,75.921,1-bromo-2-methylpropane,BrCH2CH(CH3)CH3
-0.89,1.41,51.635,bromochloromethane,BrCH2Cl
-0.79,1.15,38.469,bromomethane,BrCH3
-1.91,2.29,79.933,bromoform,BrCH(Br)Br
-1.9,2.2,72.367,chlorodibromomethane,BrCH(Br)Cl
-2.38,2.65,97.335,"1,2-dibromo-3-chloropropane",BrCH(CH2Br)CH2Cl
-2.15,2.43,84.169,"1,2-dibromopropane",BrCH(CH2Br)CH3
-1.59,2.03,63.437,2-bromopropane,BrCH(CH3)CH3
-1.71,2.3,65.445,halothane,BrCH(Cl)C(F)(F)F
-1.54,2.02,64.801,bromodichloromethane,BrCH(Cl)Cl
-1.32,2.07,71.029,"1,2-dibromoethylene",BrCH=[S=I]CHBr
-1.32,2.07,71.029,"1,2-dibromoethylene",BrCH=[S=N]CHBr
-9.33,7.38,249.523,coronene,C[1]C[2]C[3]C[4]C[5]=C@1C[7]=CHCH=C@5CH=CHC=@4CH=CHC=@3CH=CHC=@2CH=CHC=@1CH=CH@7
-9.03,6.89,231.993,benzo(ghi)perylene,C[1]C[2]C[3]C[4]C[5]=C@1C(CH=CHC=@1CH=CHC=@2CH=CHC=@3CH=CHCH=@4)=CHCH=CH@5
-7.8,6.4,214.463,benzo(e)pyrene,C[1]C[2]C[3]C[4]=C(C@1=CHCH=CHC=@1CH=CHC=@2CH=CHCH=@3)CH=CHCH=CH@4
-8.19,6.4,214.463,benzo(a)pyrene,C[1]=C[2]C[3]=CHCH=C@1C[9]=C(CH=C@1CH=CHC@2=CHCH=CH@3)CH=CHCH=CH@9
