Expt,ClogP,Polarizability,Name,smiles
-4.35,4.22,133.981,1-bromonapthtalene,Brc1cccc2ccccc12
-3.33,2.95,130.274,bromoxynil,N#Cc1cc(Br)c(O)c(Br)c1
-6.98,5.0,154.335,"1,2,4,5-tetrabromobenzene",Brc1cc(Br)c(Br)cc1Br
-6.09,5.07,193.29,bromophos,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl
-3.92,3.26,167.104,chlorbromuron,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1
-4.5,4.38,133.60299999999998,"1,2,4-tribromobenzene",Brc1ccc(Br)c(Br)c1
-5.04,4.22,133.60299999999998,"1,2,3-tribromobenzene",Brc1cccc(Br)c1Br
-3.5,3.63,112.87100000000001,"1,2-dibromobenzene",Brc1ccccc1Br
-2.23,3.45,104.62299999999999,2-bromotoluene,Cc1ccccc1Br
-3.19,3.5,105.305,1-bromo-2-chlorobenzene,Clc1ccccc1Br
-2.7,2.95,92.581,o-fluorobromobenzene,Fc1ccccc1Br
-4.4,4.22,133.981,2-bromonaphthalene,Brc1ccc2ccccc2c1
-5.6,4.39,133.60299999999998,"1,3,5-tribromobenzene",Brc1cc(Br)cc(Br)c1
-3.54,3.72,112.87100000000001,"1,3-dibromobenzene",Brc1cccc(Br)c1
-3.52,3.45,104.62299999999999,m-bromotoluene,Cc1cccc(Br)c1
-3.21,3.54,105.305,1-bromo-3-chlorobenzene,Clc1cccc(Br)c1
-2.67,3.03,92.581,m-fluorobromobenzene,Fc1cccc(Br)c1
-4.07,3.79,112.87100000000001,"1,4-dibromobenzene",Brc1ccc(Br)cc1
-4.45,7.48,371.57599999999996,bromadiolone,O=c1oc2ccccc2c(O)c1C(CC(O)c1ccc(-c2ccc(Br)cc2)cc1)c1ccccc1
-3.19,3.45,104.62299999999999,p-bromotoluene,Cc1ccc(Br)cc1
-3.63,3.52,105.305,1-bromo-4-chlorobenzene,Clc1ccc(Br)cc1
-4.93,5.43,250.64700000000002,bromopropylate,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1
-3.08,2.29,127.421,4-bromoacetanilide,CC(=O)Nc1ccc(Br)cc1
-1.09,2.49,96.446,4-bromophenol,Oc1ccc(Br)cc1
-2.55,2.99,92.139,bromobenzene,Brc1ccccc1
-2.3,3.21,94.10700000000001,bromocyclohexane,BrC1CCCCC1
-3.12,0.9,160.684,brompyrazone,Nc1cnn(-c2ccccc2)c(=O)c1Br
-2.52,2.1,151.531,bromacil,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O
-3.14,3.57,100.665,tetrabromomethane,BrC(Br)(Br)Br
-2.65,2.56,177.08700000000002,butallylonal,C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O
-2.68,1.6,134.001,carbromal,CCC(Br)(CC)C(=O)NC(N)=O
-8.4,6.2,306.241,deltamethrin,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
-2.28,1.86,154.77700000000002,naled,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br
-1.17,1.54,59.201,dibromomethane,BrCBr
-1.68,2.08,71.685,"1,2-dibromoethane",BrCCBr
-2.08,2.56,84.169,"1,3-dibromopropane",BrCCCBr
-5.06,4.87,125.85700000000001,1-bromooctane,CCCCCCCCBr
-4.43,4.34,113.37299999999999,1-bromoheptane,CCCCCCCBr
-3.81,3.8,100.889,1-bromohexane,CCCCCCBr
-3.07,3.27,88.405,1-bromopentane,CCCCCBr
-2.37,2.74,75.921,1-bromobutane,CCCCBr
-1.85,2.18,76.60300000000001,1-bromo-3-chloropropane,ClCCCBr
-1.73,2.21,63.437,1-bromopropane,CCCBr
-2.89,3.09,88.405,1-bromo-3-methylbutane,CC(C)CCBr
-1.32,1.61,64.119,1-chloro-2-bromoethane,ClCCBr
-1.09,1.68,50.953,bromoethane,CCBr
-1.5,1.79,62.781000000000006,3-bromopropylene,C=CCBr
-2.43,2.56,75.921,1-bromo-2-methylpropane,CC(C)CBr
-0.89,1.41,51.635,bromochloromethane,ClCBr
-0.79,1.15,38.469,bromomethane,CBr
-1.91,2.29,79.933,bromoform,BrC(Br)Br
-1.9,2.2,72.367,chlorodibromomethane,ClC(Br)Br
-2.38,2.65,97.335,"1,2-dibromo-3-chloropropane",ClCC(Br)CBr
-2.15,2.43,84.169,"1,2-dibromopropane",CC(Br)CBr
-1.59,2.03,63.437,2-bromopropane,CC(C)Br
-1.71,2.3,65.445,halothane,FC(F)(F)C(Cl)Br
-1.54,2.02,64.801,bromodichloromethane,ClC(Cl)Br
-1.32,2.07,71.029,"1,2-dibromoethylene",BrC=CBr
-1.32,2.07,71.029,"1,2-dibromoethylene",BrC=CBr
-9.33,7.38,249.523,coronene,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61
-9.03,6.89,231.993,benzo(ghi)perylene,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56
-7.8,6.4,214.463,benzo(e)pyrene,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31
-8.19,6.4,214.463,benzo(a)pyrene,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34
-6.19,5.17,172.62099999999998,pyrene,c1cc2ccc3cccc4ccc(c1)c2c34
-7.87,7.14,238.775,picene,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21
-8.23,6.4,214.463,benzo(b)fluoranthene,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13
-8.66,7.14,238.775,"dibenz(a,h)anthracene",c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12
-5.26,4.68,155.091,phenantherene,c1ccc2c(c1)ccc1ccccc12
-8.0,6.4,214.463,benzo(j)fluoranthene,c1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12
-8.8,6.4,214.463,perylene,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
-8.49,6.4,214.463,benzo(k)fluoranthene,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12
-6.0,5.17,172.62099999999998,fluoranthene,c1ccc2c(c1)-c1cccc3cccc-2c13
-6.74,5.91,196.933,triphenylene,c1ccc2c(c1)c1ccccc1c1ccccc21
-8.06,5.91,196.933,chrysene,c1ccc2c(c1)ccc1c3ccccc3ccc21
-8.6,5.91,196.933,naphthacene,c1ccc2cc3cc4ccccc4cc3cc2c1
-6.35,4.68,155.091,anthracene,c1ccc2cc3ccccc3cc2c1
-3.6,3.45,113.249,naphthalene,c1ccc2ccccc2c1
-4.48,4.35,98.34299999999999,"1,1,3-trimethylcyclopentane",CC1CCC(C)(C)C1
-7.11,5.63,203.715,p-terphenyl,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
-4.31,3.98,137.561,biphenyl,c1ccc(-c2ccccc2)cc1
-2.82,2.7,95.719,styrene,C=Cc1ccccc1
-6.68,5.39,185.105,benzo(a)fluorene,c1ccc2c(c1)Cc1c-2ccc2ccccc12
-8.04,5.39,185.105,benzo(b)fluorene,c1ccc2c(c1)Cc1cc3ccccc3cc1-2
-5.22,4.62,155.747,1-methylfluorene,Cc1cccc2c1Cc1ccccc1-2
-4.91,4.16,143.263,fluorene,c1ccc2c(c1)Cc1ccccc1-2
-5.96,5.75,174.58900000000003,"1,2,3,6,7,8-hexahydropyrene",c1cc2c3c(ccc4c3c1CCC4)CCC2
-7.92,7.11,227.60299999999998,3-methylcholanthrene,Cc1ccc2c(ccc3c4c5c(cccc5cc32)CC4)c1
-7.92,7.11,227.60299999999998,3-methylcholanthrene,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3
-7.85,6.65,215.11900000000003,cholanthrene,c1cc2c3c(c4ccc5ccccc5c4cc3c1)CC2
