,Expt,ClogP,Polarizability,Name,smiles
0,-4.35,4.22,133.981,1-bromonapthtalene,Brc1cccc2ccccc12
1,-3.33,2.95,130.274,bromoxynil,N#Cc1cc(Br)c(O)c(Br)c1
2,-6.98,5.0,154.335,"1,2,4,5-tetrabromobenzene",Brc1cc(Br)c(Br)cc1Br
3,-6.09,5.07,193.29,bromophos,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl
4,-3.92,3.26,167.104,chlorbromuron,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1
5,-4.5,4.38,133.60299999999998,"1,2,4-tribromobenzene",Brc1ccc(Br)c(Br)c1
6,-5.04,4.22,133.60299999999998,"1,2,3-tribromobenzene",Brc1cccc(Br)c1Br
7,-3.5,3.63,112.871,"1,2-dibromobenzene",Brc1ccccc1Br
8,-2.23,3.45,104.623,2-bromotoluene,Cc1ccccc1Br
9,-3.19,3.5,105.305,1-bromo-2-chlorobenzene,Clc1ccccc1Br
10,-2.7,2.95,92.581,o-fluorobromobenzene,Fc1ccccc1Br
11,-4.4,4.22,133.981,2-bromonaphthalene,Brc1ccc2ccccc2c1
12,-5.6,4.39,133.60299999999998,"1,3,5-tribromobenzene",Brc1cc(Br)cc(Br)c1
13,-3.54,3.72,112.871,"1,3-dibromobenzene",Brc1cccc(Br)c1
14,-3.52,3.45,104.623,m-bromotoluene,Cc1cccc(Br)c1
15,-3.21,3.54,105.305,1-bromo-3-chlorobenzene,Clc1cccc(Br)c1
16,-2.67,3.03,92.581,m-fluorobromobenzene,Fc1cccc(Br)c1
17,-4.07,3.79,112.871,"1,4-dibromobenzene",Brc1ccc(Br)cc1
18,-4.45,7.48,371.576,bromadiolone,O=c1oc2ccccc2c(O)c1C(CC(O)c1ccc(-c2ccc(Br)cc2)cc1)c1ccccc1
19,-3.19,3.45,104.623,p-bromotoluene,Cc1ccc(Br)cc1
20,-3.63,3.52,105.305,1-bromo-4-chlorobenzene,Clc1ccc(Br)cc1
21,-4.93,5.43,250.647,bromopropylate,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1
22,-3.08,2.29,127.421,4-bromoacetanilide,CC(=O)Nc1ccc(Br)cc1
23,-1.09,2.49,96.446,4-bromophenol,Oc1ccc(Br)cc1
24,-2.55,2.99,92.139,bromobenzene,Brc1ccccc1
25,-2.3,3.21,94.107,bromocyclohexane,BrC1CCCCC1
26,-3.12,0.9,160.684,brompyrazone,Nc1cnn(-c2ccccc2)c(=O)c1Br
27,-2.52,2.1,151.531,bromacil,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O
28,-3.14,3.57,100.665,tetrabromomethane,BrC(Br)(Br)Br
29,-2.65,2.56,177.08700000000005,butallylonal,C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O
30,-2.68,1.6,134.001,carbromal,CCC(Br)(CC)C(=O)NC(N)=O
31,-8.4,6.2,306.241,deltamethrin,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
32,-2.28,1.86,154.77700000000004,naled,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br
33,-1.17,1.54,59.201,dibromomethane,BrCBr
34,-1.68,2.08,71.685,"1,2-dibromoethane",BrCCBr
35,-2.08,2.56,84.169,"1,3-dibromopropane",BrCCCBr
36,-5.06,4.87,125.857,1-bromooctane,CCCCCCCCBr
37,-4.43,4.34,113.373,1-bromoheptane,CCCCCCCBr
38,-3.81,3.8,100.889,1-bromohexane,CCCCCCBr
39,-3.07,3.27,88.405,1-bromopentane,CCCCCBr
40,-2.37,2.74,75.921,1-bromobutane,CCCCBr
41,-1.85,2.18,76.60300000000002,1-bromo-3-chloropropane,ClCCCBr
42,-1.73,2.21,63.437,1-bromopropane,CCCBr
43,-2.89,3.09,88.405,1-bromo-3-methylbutane,CC(C)CCBr
44,-1.32,1.61,64.119,1-chloro-2-bromoethane,ClCCBr
45,-1.09,1.68,50.953,bromoethane,CCBr
46,-1.5,1.79,62.78100000000001,3-bromopropylene,C=CCBr
47,-2.43,2.56,75.921,1-bromo-2-methylpropane,CC(C)CBr
48,-0.89,1.41,51.635,bromochloromethane,ClCBr
49,-0.79,1.15,38.469,bromomethane,CBr
50,-1.91,2.29,79.933,bromoform,BrC(Br)Br
51,-1.9,2.2,72.367,chlorodibromomethane,ClC(Br)Br
52,-2.38,2.65,97.335,"1,2-dibromo-3-chloropropane",ClCC(Br)CBr
