,Expt,ClogP,Polarizability,Name,smiles
0,-4.35,4.22,133.981,1-bromonapthtalene,Brc1cccc2ccccc12
7,-3.5,3.63,112.871,"1,2-dibromobenzene",Brc1ccccc1Br
8,-2.23,3.45,104.623,2-bromotoluene,Cc1ccccc1Br
9,-3.19,3.5,105.305,1-bromo-2-chlorobenzene,Clc1ccccc1Br
10,-2.7,2.95,92.581,o-fluorobromobenzene,Fc1ccccc1Br
11,-4.4,4.22,133.981,2-bromonaphthalene,Brc1ccc2ccccc2c1
13,-3.54,3.72,112.871,"1,3-dibromobenzene",Brc1cccc(Br)c1
14,-3.52,3.45,104.623,m-bromotoluene,Cc1cccc(Br)c1
15,-3.21,3.54,105.305,1-bromo-3-chlorobenzene,Clc1cccc(Br)c1
16,-2.67,3.03,92.581,m-fluorobromobenzene,Fc1cccc(Br)c1
17,-4.07,3.79,112.871,"1,4-dibromobenzene",Brc1ccc(Br)cc1
19,-3.19,3.45,104.623,p-bromotoluene,Cc1ccc(Br)cc1
20,-3.63,3.52,105.305,1-bromo-4-chlorobenzene,Clc1ccc(Br)cc1
22,-3.08,2.29,127.421,4-bromoacetanilide,CC(=O)Nc1ccc(Br)cc1
23,-1.09,2.49,96.446,4-bromophenol,Oc1ccc(Br)cc1
24,-2.55,2.99,92.139,bromobenzene,Brc1ccccc1
25,-2.3,3.21,94.107,bromocyclohexane,BrC1CCCCC1
30,-2.68,1.6,134.001,carbromal,CCC(Br)(CC)C(=O)NC(N)=O
33,-1.17,1.54,59.201,dibromomethane,BrCBr
34,-1.68,2.08,71.685,"1,2-dibromoethane",BrCCBr
35,-2.08,2.56,84.169,"1,3-dibromopropane",BrCCCBr
36,-5.06,4.87,125.857,1-bromooctane,CCCCCCCCBr
37,-4.43,4.34,113.373,1-bromoheptane,CCCCCCCBr
38,-3.81,3.8,100.889,1-bromohexane,CCCCCCBr
39,-3.07,3.27,88.405,1-bromopentane,CCCCCBr
40,-2.37,2.74,75.921,1-bromobutane,CCCCBr
41,-1.85,2.18,76.60300000000002,1-bromo-3-chloropropane,ClCCCBr
42,-1.73,2.21,63.437,1-bromopropane,CCCBr
43,-2.89,3.09,88.405,1-bromo-3-methylbutane,CC(C)CCBr
44,-1.32,1.61,64.119,1-chloro-2-bromoethane,ClCCBr
45,-1.09,1.68,50.953,bromoethane,CCBr
46,-1.5,1.79,62.78100000000001,3-bromopropylene,C=CCBr
47,-2.43,2.56,75.921,1-bromo-2-methylpropane,CC(C)CBr
48,-0.89,1.41,51.635,bromochloromethane,ClCBr
49,-0.79,1.15,38.469,bromomethane,CBr
50,-1.91,2.29,79.933,bromoform,BrC(Br)Br
51,-1.9,2.2,72.367,chlorodibromomethane,ClC(Br)Br
52,-2.38,2.65,97.335,"1,2-dibromo-3-chloropropane",ClCC(Br)CBr
53,-2.15,2.43,84.169,"1,2-dibromopropane",CC(Br)CBr
54,-1.59,2.03,63.437,2-bromopropane,CC(C)Br
55,-1.71,2.3,65.445,halothane,FC(F)(F)C(Cl)Br
56,-1.54,2.02,64.801,bromodichloromethane,ClC(Cl)Br
57,-1.32,2.07,71.029,"1,2-dibromoethylene",BrC=CBr
58,-1.32,2.07,71.029,"1,2-dibromoethylene",BrC=CBr
63,-6.19,5.17,172.62099999999995,pyrene,c1cc2ccc3cccc4ccc(c1)c2c34
67,-5.26,4.68,155.091,phenantherene,c1ccc2c(c1)ccc1ccccc12
71,-6.0,5.17,172.62099999999995,fluoranthene,c1ccc2c(c1)-c1cccc3cccc-2c13
72,-6.74,5.91,196.933,triphenylene,c1ccc2c(c1)c1ccccc1c1ccccc21
73,-8.06,5.91,196.933,chrysene,c1ccc2c(c1)ccc1c3ccccc3ccc21
74,-8.6,5.91,196.933,naphthacene,c1ccc2cc3cc4ccccc4cc3cc2c1
75,-6.35,4.68,155.091,anthracene,c1ccc2cc3ccccc3cc2c1
76,-3.6,3.45,113.249,naphthalene,c1ccc2ccccc2c1
77,-4.48,4.35,98.343,"1,1,3-trimethylcyclopentane",CC1CCC(C)(C)C1
78,-7.11,5.63,203.715,p-terphenyl,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
79,-4.31,3.98,137.561,biphenyl,c1ccc(-c2ccccc2)cc1
80,-2.82,2.7,95.719,styrene,C=Cc1ccccc1
81,-6.68,5.39,185.105,benzo(a)fluorene,c1ccc2c(c1)Cc1c-2ccc2ccccc12
82,-8.04,5.39,185.105,benzo(b)fluorene,c1ccc2c(c1)Cc1cc3ccccc3cc1-2
83,-5.22,4.62,155.747,1-methylfluorene,Cc1cccc2c1Cc1ccccc1-2
84,-4.91,4.16,143.263,fluorene,c1ccc2c(c1)Cc1ccccc1-2
85,-5.96,5.75,174.58900000000003,"1,2,3,6,7,8-hexahydropyrene",c1cc2c3c(ccc4c3c1CCC4)CCC2
89,-4.63,4.19,131.435,acenaphthene,c1cc2c3c(cccc3c1)CC2
90,-3.04,3.34,102.077,indane,c1ccc2c(c1)CCC2
